Pistons,Detroit,East,14,68,30
Hornets,Charlotte,East,21,61,27
Trail Blazers,Portland,West,21,61,28
Kings,Sacremento,West,46,36,18
Cavaliers,Cleveland,East,48,34,11
Pelicans,New Orleans,West,49,33,9
Knicks,New York,East,50,32,7
Mavericks,Dallas,West,50,32,6
Timberwolves,Minneapolis,West,56,26,4
Celtics,Boston,East,64,18,1
